PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
B	Liu, YL; Lv, YS			IEEE	Liu, Yu-Liang; Lv, Yisheng			Discharge Model and Control Strategy for E-bicycle Mixed Intersections	PROCEEDINGS OF THE 2016 12TH WORLD CONGRESS ON INTELLIGENT CONTROL AND AUTOMATION (WCICA)			English	Proceedings Paper	12th World Congress on Intelligent Control and Automation (WCICA)	JUN 12-15, 2016	Guilin, PEOPLES R CHINA	IEEE			TRANSPORTATION SYSTEMS	An e-bicycle, also known as an electric bicycle, is one of the major trip modes in the third and fourth-tier small cities of China which is quite different from big cities such as Beijing and Shanghai. Traditional traffic signal control approaches are often based on the pure motor vehicles, regardless the effect of increasing e-bicycles. This paper proposed a discharge model of e-bicycle mixed traffic flows and developed an average delay formula based on that. We analysed the relationship between the average delay and cycle length, for the cases of pure motor vehicles delay and e-bicycle mixed traffic delay, respectively. Moreover, we presented a practical traffic signal control strategy for intersections with e-bicycle mixed traffic flow. It demonstrates that the optimal cycle length obtained from the proposed method is normally larger than that got from the Webster method, which complies with the field application and fits the real traffic circumstances.	[Liu, Yu-Liang; Lv, Yisheng] Chinese Acad Sci, Inst Automat, State Key Lab Management & Control Complex Syst, Beijing, Peoples R China	Lv, YS (corresponding author), Chinese Acad Sci, Inst Automat, State Key Lab Management & Control Complex Syst, Beijing, Peoples R China.	yisheng.lv@ia.ac.cn					Chen B, 2010, IEEE T INTELL TRANSP, V11, P485, DOI 10.1109/TITS.2010.2048313; Gartner N. H., 1981, VERSATILE PROGRAM SE; Hunt P. B, 1982, TRAFFIC ENG CONTROL, V23; John Glen Wardrop, 1952, ICE P ENG DIV, V1, P325, DOI DOI 10.1680/IPEDS.1952.11259; Lan C.-L., 2014, INTELLIGENT TRANSPOR, P1; Liu Y.-L., 2014, SERV OP LOG INF SOLI, P222; Lowrie P., 1990, SCATS SYDNEY COORDIN; Papageorgiou M, 2003, P IEEE, V91, P2043, DOI 10.1109/JPROC.2003.819610; Wang FY, 2010, IEEE T INTELL TRANSP, V11, P630, DOI 10.1109/TITS.2010.2060218; Webster F.V., 1958, TECH REP	10	0	0	0	4	IEEE	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017 USA			978-1-4673-8414-8				2016							1808	1813					6	Automation & Control Systems; Engineering, Electrical & Electronic	Automation & Control Systems; Engineering	BG3XR	WOS:000388373801173					2021-01-11	
B	Shou, YF; Zhang, DB; Xu, JM			IEEE	Shou, Yanfang; Zhang, Dongbo; Xu, Jianmin			Signal Control Decision Model for Adjacent Intersection Based on Coordination Rate	PROCEEDINGS OF THE 2016 12TH WORLD CONGRESS ON INTELLIGENT CONTROL AND AUTOMATION (WCICA)			English	Proceedings Paper	12th World Congress on Intelligent Control and Automation (WCICA)	JUN 12-15, 2016	Guilin, PEOPLES R CHINA	IEEE				In view of traffic flow equilibrium of all entrance lanes, considering the coordinated demand of every phase, a new signal control decision model for adjacent intersections based on coordination rate is established. According to the relationship between traffic parameters in the theory of traffic flow continuity, the rationality of the parameter is analyzed and the definition and calculation formula of the phase coordination rate are presented, by taking phase split, vehicle queue length, traffic flow velocity at upstream section as input variables, and signal cycle and phase green light starting point as output variables. Applying the new method to the adjacent intersections signal timing optimization, Compared with the traditional signal timing method, the paper considers the bandwidth requirement in each phase, and deeply describes the coordination degree of intersection traffic flow, phases and adjacent intersections, which provided a new theoretical reference of signal parameter optimization for balanced traffic flow.	[Shou, Yanfang] South China Univ Technol, Guangzhou Modern Ind Technol Res Inst, Guangzhou 510640, Guangdong, Peoples R China; [Zhang, Dongbo; Xu, Jianmin] South China Univ Technol, Sch Civil Engn & Transportat, Guangzhou 510640, Guangdong, Peoples R China	Shou, YF (corresponding author), South China Univ Technol, Guangzhou Modern Ind Technol Res Inst, Guangzhou 510640, Guangdong, Peoples R China.	shouyanfang@126.com; dongbozhang2013@qq.com; aujmxu@scut.edu.cn					Akcelik R, 1981, AUSTR ROAD RES BOARD, P26; [高云峰 Gao Yunfeng], 2011, [中国公路学报, China Journal of Highway and Transport], V24, P82; Guo Dong, 2013, Journal of System Simulation, V25, P1405; Long Qiong, 2014, Journal of Central South University (Science and Technology), V45, P2503; Lu Bin, 2010, Journal of Traffic and Transportation Engineering, V10, P116; Lu Kai, 2011, Control Theory & Applications, V28, P551; [祁宏生 Qi Hongsheng], 2012, [哈尔滨工业大学学报, Journal of Harbin Institute of Technology], V44, P134; Shen Guo-jiang, 2013, Control and Decision, V28, P1907; Shou Yanfang, 2012, Journal of Highway and Transportation Research and Development, V29, P92, DOI 10.3969/j.issn.1002-0268.2012.11.017; [吴伟 Wu Wei], 2013, [同济大学学报. 自然科学版, Journal of Tongji University. Natural Science], V41, P66; Xu Jian-min, 2010, TRAFFIC MANAGEMENT C; Zhang C, 2015, TRANSPORT RES C-EMER, V58, P515, DOI 10.1016/j.trc.2015.04.014; [张存保 Zhang Cunbao], 2013, [交通运输系统工程与信息, Journal of Transporation Systems Engineering & Information Technology], V13, P40; [邹志云 Zou Zhiyun], 2004, [北京交通大学学报. 自然科学版, Journal of Beijing Jiaotong university], V28, P61	14	1	1	0	3	IEEE	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017 USA			978-1-4673-8414-8				2016							2481	2486					6	Automation & Control Systems; Engineering, Electrical & Electronic	Automation & Control Systems; Engineering	BG3XR	WOS:000388373800148					2021-01-11	
B	Chen, YG; Lei, JM; Cheng, W; Su, LY; Liu, Y			IEEE	Chen, Yuguang; Lei, Jianming; Cheng, Wei; Su, Linyong; Liu, Ying			Density Difference-Based Variable Speed Limit Control for Expressways under Rainfall Conditions	PROCEEDINGS OF THE 2016 12TH WORLD CONGRESS ON INTELLIGENT CONTROL AND AUTOMATION (WCICA)			English	Proceedings Paper	12th World Congress on Intelligent Control and Automation (WCICA)	JUN 12-15, 2016	Guilin, PEOPLES R CHINA	IEEE				In order to effectively respond to potential traffic dangers caused by high speed discreteness and uneven density distribution of expressways under rainfall conditions and achieve the goals of smoothing traffic flow, ensuring safe travel and reducing traffic congestion, a density difference-based variable speed limit control model for expressways under rainfall conditions was built in this paper to decrease the density difference between adjacent sections and improve the road traffic safety. Finally, the simulation analysis on 26km section of Kunshi Expressway was conducted with simulation software and the results showed that the control model put forward in this paper can effectively reduce the standard deviations of section density and average overall speed and improve the safety of expressways under rainfall conditions.	[Chen, Yuguang; Cheng, Wei] Kunming Univ Sci & Technol, ITS Ctr Higher Inst Yunnan Prov, Kunming, Peoples R China; [Lei, Jianming] Traff Police Detachment Yuxi Publ Secur Bur, Yuxi, Yuxi 653100, CO, Peoples R China; [Su, Linyong] Kunming Univ Sci & Technol, Kunming 650093, CO, Peoples R China; [Liu, Ying] Kunming Univ Sci & Technol, Fac Transportat Engn, Kunming 650093, CO, Peoples R China	Chen, YG (corresponding author), Kunming Univ Sci & Technol, ITS Ctr Higher Inst Yunnan Prov, Kunming, Peoples R China.	chenyuguang2010@163.com					cunbao Zhang, 2013, HIGHWAY, V9, P158; Fudala Nicholas J, 2010, 89 ANN M TRANSP RES; Gao jianping Guo zhongyin, 2004, CHINA SAFETY SCI J, V14, P64; guofan Lu, 2012, STUDY CHANGYING HIGH; Kang KP, 2004, TRANSPORT RES REC, P77, DOI 10.3141/1877-09; li Li, 2013, HIGHWAY, V07, P200; Lu Xiao-Yun, 2010, 2010 AM CONTR C MARR; shuping Ji, 2002, IND CONTROL COMPUTER, V15, P50; Sun Yingjie, 2008, STUDY REASONABLE SPE; xianfeng Xu, 2007, STUDY FREEWAY SAFETY; xiangping Zeng, 2008, RES TRAFFIC SAFETY E; yang Li, 2011, NEW VARIABLE SPEED C; zengliang Yu, 2005, STUDY DRIVER CRITICA	13	1	1	0	2	IEEE	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017 USA			978-1-4673-8414-8				2016							2913	2917					5	Automation & Control Systems; Engineering, Electrical & Electronic	Automation & Control Systems; Engineering	BG3XR	WOS:000388373803060					2021-01-11	
B	Chen, YG; Yuan, MR; Cheng, W; Xiao, HC; Ye, HB			IEEE	Chen, Yuguang; Yuan, Manrong; Cheng, Wei; Xiao, Haicheng; Ye, Huabao			Coordinated Traffic Signal Control Method of Urban Expressway On-ramp and Ground Intersections	PROCEEDINGS OF THE 2016 12TH WORLD CONGRESS ON INTELLIGENT CONTROL AND AUTOMATION (WCICA)			English	Proceedings Paper	12th World Congress on Intelligent Control and Automation (WCICA)	JUN 12-15, 2016	Guilin, PEOPLES R CHINA	IEEE				In view of the major cause for traffic congestion on urban expressways and based on the in-depth analysis and comparison of plenty of related research at home and abroad, the analysis on on-ramp metering and metering threshold calibration in the study area was conducted to establish a traffic flow and traffic signal control model with the road network area from Jinma Overpass to Dashuying Overpass in Kunming, Yunnan Province as the study subject and the traffic delay and queuing length as the objectives of traffic signal control. Moreover, the traffic simulation software VISSIM was used to verify the traffic signal control effect.	[Chen, Yuguang] Univ Sci & Technol, Fac Transportat Engn, Hefei, Anhui, Peoples R China; [Yuan, Manrong] Kunming Publ Secur Traff Police Detachment, Kunming, Peoples R China; [Cheng, Wei; Xiao, Haicheng] Kunming Univ Sci & Technol, ITS Ctr Higher Inst Yumian Prov, Kunming, Peoples R China; [Ye, Huabao] Kunming Univ Sci & Technol, Kunming, Peoples R China	Chen, YG (corresponding author), Univ Sci & Technol, Fac Transportat Engn, Hefei, Anhui, Peoples R China.	chenyuguang2010@163.com					Chang G. L., 1994, TRANSPORTATION RES R; Head L, 1995, RAMP METERING STATUS; Kachroo P., 2000, T SDPS J INTEGR DES, V4, P37; Kachroo Pushkin, 2003, FEEDBACK RAMP METERI, P211; PAPAGEORGIOU M, 1995, TRANSPORT RES C-EMER, V3, P19, DOI 10.1016/0968-090X(94)00012-T; Papageorgiou M., 1991, TRANSPORT RES REC, V1320, P58; Tian Z. Z., 2007, J TRANSPORTATION SYS, V7, P61, DOI DOI 10.1016/S1570-6672(07)60008-7; Urbanik Thomas, 2006, COORD FREEW OP HDB; Yoshino T, 1995, APPL ADV TECHNOLOGIE, P288	9	1	1	0	4	IEEE	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017 USA			978-1-4673-8414-8				2016							3367	3370					4	Automation & Control Systems; Engineering, Electrical & Electronic	Automation & Control Systems; Engineering	BG3XR	WOS:000388373803018					2021-01-11	
S	Guo, X		Yingying, S; Guiran, C; Zhen, L		Guo, Xin			Traffic Flow Forecasting Model Based on Data Mining	PROCEEDINGS OF THE 2016 INTERNATIONAL CONFERENCE ON EDUCATION, MANAGEMENT, COMPUTER AND SOCIETY	ACSR-Advances in Comptuer Science Research		English	Proceedings Paper	International Conference on Education, Management, Computer and Society (EMCS)	JAN 01-03, 2016	Shenyang, PEOPLES R CHINA			ITS; data mining; model; system structure; technical analysis; traffic flow		The research and application of Intelligent Transportation System has developed rapidly due to the demand on safe, convenient, comfortable and information-based modern transportation. It is important part of the research of Intelligent Transportation System to study different forms and operation rules on traffic flow and establish rapid, stable and effective traffic flow model. With the development of Intelligent Transportation System, mass traffic flow data have been accumulated in Intelligent Transportation System. More and more researchers have started to analyze the information of traffic flow by use of advanced data-mining technique, and discover hidden transportation mode and regulation amongst the information of traffic flow. Data mining technology provides a powerful analysis and processing function of mass traffic data. This paper analyzes the characteristics of traffic data in intelligent transportation system, and puts forward the system model and the hierarchical architecture of traffic data mining system.	[Guo, Xin] Jishou Univ, Sch Software Serv Outsourcing, Zhangjiajie, Peoples R China	Guo, X (corresponding author), Jishou Univ, Sch Software Serv Outsourcing, Zhangjiajie, Peoples R China.	jianghai079@126.com					[Anonymous], 2002, NAT PROS ITS SHAR IN; DaimlerChrysler Corporation, 1999, CROSS IND STAND PROC; Dougherty M., INT J FORECASTING, V13, P21; Han Chao, 2003, REV SOME MAIN MODELS; LEE DH, 2004, J I ENG; Li Ruimin, 2003, DEV INTEGRATED INFOR; LU Jia, 2003, CONGESTION EVALUATIO; MASAKI I, 1999, BRIEF HIST ITS R; Qin Xiao-hu, 2003, ITS INFORM ARCHITECT; Smith BL, 1997, J TRANSP ENG-ASCE, V123, P261, DOI 10.1061/(ASCE)0733-947X(1997)123:4(261); VOORT MVD, 1996, TRANSPORT RES C-EMER, V4, P307; Yang Hai, 1998, JORUNAL TRANSPORTATI	12	0	0	0	1	ATLANTIS PRESS	PARIS	29 AVENUE LAVMIERE, PARIS, 75019, FRANCE	2352-538X		978-94-6252-158-2	ACSR ADV COMPUT			2016	37						1043	1046					4	Computer Science, Interdisciplinary Applications; Operations Research & Management Science	Computer Science; Operations Research & Management Science	BG4AL	WOS:000388458100257					2021-01-11	
S	Song, WW		Yingying, S; Guiran, C; Zhen, L		Song Weiwei			Based on Flight Departure Queuing Problem for Terminal Area Capacity Assessment	PROCEEDINGS OF THE 2016 INTERNATIONAL CONFERENCE ON EDUCATION, MANAGEMENT, COMPUTER AND SOCIETY	ACSR-Advances in Comptuer Science Research		English	Proceedings Paper	International Conference on Education, Management, Computer and Society (EMCS)	JAN 01-03, 2016	Shenyang, PEOPLES R CHINA			terminal area; departure flight; aircraft; capacity evaluation; queue		In recent years, along with the high-speed growth of national economy, the total turnover of scheduled air transportation in China has risen to number five and passenger turnover rose to Number four in the world. Flight departure queuing occurs mainly in the terminal control area and this is an important part for causing flight delays. To improve the effectiveness of assessment for the departure flight which in the terminal control area, according to the air traffic flow queuing feature, considering estimate departure time, apron, wake turbulence, adopting an algorithm with improved first come first serve to build simulation models to assess the simulation situation for reducing flight delays. Take an example of terminal area of Wuhan Tianhe International Airport, it chooses a flight plan of one day to simulate the daily operation. Simulation results show that using first come first serve algorithm for departure flight can reduce delays, increase airport capacity and improve runway utilization.	[Song Weiwei] Shenyang Aerosp Univ, Dept Civil Aviat, Shenyang, Liaoning, Peoples R China	Song, WW (corresponding author), Shenyang Aerosp Univ, Dept Civil Aviat, Shenyang, Liaoning, Peoples R China.	wwsong1@126.com					Arad B.A., 1964, J AIR TRAFFIC CONTRO, P13; Arkind SCKenneth, 2003, 20036791 AIAA, P1; Buckley E.P., 1983, DOTFAACT8326; Couluris G.J., 1973, 4 ANN S AD PROC I EL, P236; Dong Xiangning, 2011, AVIATION COMPUTING T, V41, P5; Gilbo Eugene P., 2003, 5 US EUR AIR TRAFF M, P23; ICAO (International Civil Aviation Organization), 2001, ANN 2 CONV INT CIV A; Philippe Bonnefoy, 2008, ICAT200802; Siddiqee W., 1973, TRANSPORT SCI, V7, P571, DOI [10.1287/trsc.7.2.158, DOI 10.1287/TRSC.7.2.158]; Tofukuji N., 1993, IEEE T CONTR SYST T, P138	10	0	0	0	1	ATLANTIS PRESS	PARIS	29 AVENUE LAVMIERE, PARIS, 75019, FRANCE	2352-538X		978-94-6252-158-2	ACSR ADV COMPUT			2016	37						1944	1946					3	Computer Science, Interdisciplinary Applications; Operations Research & Management Science	Computer Science; Operations Research & Management Science	BG4AL	WOS:000388458100488					2021-01-11	
S	Yang, S		Weiguo, L; Guiran, C; Huiyu, Z		Yang, Shuo			Mixed Traffic Flow Model with Cellular Automata	PROCEEDINGS OF THE 2016 INTERNATIONAL CONFERENCE ON SENSOR NETWORK AND COMPUTER ENGINEERING	AER-Advances in Engineering Research		English	Proceedings Paper	6th International Conference on Sensor Network and Computer Engineering (ICSNCE)	JUL 08-10, 2016	Xian, PEOPLES R CHINA			Urban road; Traffic flow; Cellular automata; Lateral interference		Urban transportation with multiple traffic modes is quite a complex system, where pedestrian-vehicle mixed flows play important roles. This paper is to analyze the effect of pedestrians' crossing street on vehicle flows based on the investigation of their traffic characteristics. Rules of lane changing, acceleration, deceleration, randomization and update are modified here to simulate real traffic flows better. Then an urban two-lane cellular automata model of traffic flows is established under the above rules. MATLAB is used for numerical simulation of different traffic conditions. Meanwhile, space-time diagram and relational graphs of traffic flow parameters are generated and then comparatively analyzed. The analyzation results illustrate that the proposed model is in good consistence with real situation and can provide some practical reference for urban traffic management.	[Yang, Shuo] Beijing Jiaotong Univ, State Key Lab Rail Traff Control & Safety, Beijing 100044, Peoples R China	Yang, S (corresponding author), Beijing Jiaotong Univ, State Key Lab Rail Traff Control & Safety, Beijing 100044, Peoples R China.	15120904@bjtu.edu.cn					Appert-Rolland C, 2013, TRANSPORT RES C-EMER, V34, P162, DOI 10.1016/j.trc.2011.08.013; Das S, 2011, CHAOS SOLITON FRACT, V44, P185, DOI 10.1016/j.chaos.2011.01.012; Feng SM, 2013, PHYSICA A, V392, P2847, DOI 10.1016/j.physa.2013.03.008; Hua X.D., 2011, ACTA PHYS SINICA, V60, P298; Korcek P, 2011, IEEE INT VEH SYM, P13, DOI 10.1109/IVS.2011.5940393; Larraga ME, 2010, PHYSICA A, V389, P5425, DOI 10.1016/j.physa.2010.08.020; Li X.G., 2009, MICROSCOPIC MODELING; NAGEL K, 1992, J PHYS I, V2, P2221; Qian Yong-sheng, 2007, Journal of System Simulation, V19, P3358; Wang Junhua, 2008, Journal of Tongji University (Natural Science), V36, P503; Yue H., 2008, STUDY SIMULATION MOD; Zamith M, 2010, PROCEDIA COMPUT SCI, V1, P337, DOI 10.1016/j.procs.2010.04.037	12	0	0	0	1	ATLANTIS PRESS	PARIS	29 AVENUE LAVMIERE, PARIS, 75019, FRANCE	2352-5401		978-94-6252-217-6	AER ADV ENG RES			2016	68						159	163					5	Engineering, Multidisciplinary	Engineering	BF9AX	WOS:000385403000031					2021-01-11	
S	Li, X; Bai, RB		Yin, H; Gao, Y; Li, B; Zhang, D; Yang, M; Li, Y; Klawonn, F; TallonBallesteros, AJ		Li, Xia; Bai, Ruibin			Freight Vehicle Travel Time Prediction Using Sparse Gaussian Processes Regression with Trajectory Data	INTELLIGENT DATA ENGINEERING AND AUTOMATED LEARNING - IDEAL 2016	Lecture Notes in Computer Science		English	Proceedings Paper	17th International Conference on Intelligent Data Engineering and Automated Learning (IDEAL)	OCT 12-14, 2016	Yangzhou, PEOPLES R CHINA			Travel time prediction; Machine learning; Gaussian Processes; Sparse approximation; Trajectory data; Freight vehicle	TRAFFIC FLOW	Travel time prediction is important for freight transportation companies. Accurate travel time prediction can help these companies make better planning and task scheduling. For several reasons, most companies are not able to obtain traffic flow data from traffic management authorities, but a large amount of trajectory data were collected everyday which has not been fully utilised. In this study, we aim to fill this gap and performed travel time prediction for freight vehicles at individual level using sparse Gaussian processes regression (SGPR) models with trajectory data. The results show that the prediction performance can be gradually improved by adding more mean speed estimates of traveled distance from the first 5 min as the real-time information. The overall performances of SGPR models are very similar to full GP, supported vector regression (SVR) and artificial neural network (ANN) models. The computational complexity of SGPR models is O(mn(2)), and it does not require lengthy model fitting process as SVR and ANN. This makes GP models more practicable for real-world practice in large-scale transportation data analyses.	[Li, Xia; Bai, Ruibin] Univ Nottingham Ningbo China, Ningbo 315100, Zhejiang, Peoples R China	Li, X (corresponding author), Univ Nottingham Ningbo China, Ningbo 315100, Zhejiang, Peoples R China.	XiaLi@nottingham.edu.cn	Bai, Ruibin/D-6027-2011	Bai, Ruibin/0000-0003-1722-568X			[Anonymous], 2012, GPY AUTHORS GPY GAUS; Arthur D., 2007, S DISCR ALG; Chen M, 2001, TRANSPORT RES REC, P157, DOI 10.3141/1768-19; Fei X, 2011, TRANSPORT RES C-EMER, V19, P1306, DOI 10.1016/j.trc.2010.10.005; Gal Y., 2014, ADV NEURAL INF PROCE, P3257; Haworth J, 2014, TRANSPORT RES C-EMER, V46, P151, DOI 10.1016/j.trc.2014.05.015; Ide T., 2009, P SIAM INT C DAT MIN; Kwon J, 2000, TRANSPORT RES REC, P120, DOI 10.3141/1717-15; Nanthawichit C, 2003, TRANSPORT RES REC, P49, DOI 10.3141/1855-06; Quinonerocandela J., 2009, J MACH LEARN RES, V6, P1939; Rasmussen CE, 2005, ADAPT COMPUT MACH LE, P1; Smith BL, 2002, TRANSPORT RES C-EMER, V10, P303, DOI 10.1016/S0968-090X(02)00009-8; Snelson E., 2006, ADV NEURAL INF PROCE, V18, P1257; Titsias M. K., 2009, J MACHINE LEARNING R, P567; van Hinsbergen CPI, 2009, TRANSPORT RES C-EMER, V17, P498, DOI 10.1016/j.trc.2009.04.007; van Lint JWC, 2005, TRANSPORT RES C-EMER, V13, P347, DOI 10.1016/j.trc.2005.03.001; Williams BM, 2003, J TRANSP ENG, V129, P664, DOI 10.1061/(ASCE)0733-947X(2003)129:6(664); Wu CH, 2004, IEEE T INTELL TRANSP, V5, P276, DOI 10.1109/TITS.2004.837813; Xie YC, 2010, TRANSPORT RES REC, P69, DOI 10.3141/2165-08; Zhang XY, 2003, TRANSPORT RES C-EMER, V11, P187, DOI 10.1016/S0968-090X(03)00026-3; Zhang YR, 2014, TRANSPORT RES C-EMER, V43, P65, DOI 10.1016/j.trc.2013.11.011	21	2	2	0	2	SPRINGER INTERNATIONAL PUBLISHING AG	CHAM	GEWERBESTRASSE 11, CHAM, CH-6330, SWITZERLAND	0302-9743	1611-3349	978-3-319-46257-8; 978-3-319-46256-1	LECT NOTES COMPUT SC			2016	9937						143	153		10.1007/978-3-319-46257-8_16			11	Computer Science, Artificial Intelligence; Computer Science, Information Systems; Computer Science, Theory & Methods	Computer Science	BG3ZO	WOS:000388436500016					2021-01-11	
S	Andrienko, N; Andrienko, G; Rinzivillo, S		Berendt, B; Bringmann, B; Fromont, E; Garriga, G; Miettinen, P; Tatti, N; Tresp, V		Andrienko, Natalia; Andrienko, Gennady; Rinzivillo, Salvatore			Leveraging Spatial Abstraction in Traffic Analysis and Forecasting with Visual Analytics	MACHINE LEARNING AND KNOWLEDGE DISCOVERY IN DATABASES, ECML PKDD 2016, PT III	Lecture Notes in Artificial Intelligence		English	Proceedings Paper	European Conference on Machine Learning and Principles and Practice of Knowledge Discovery in Databases (ECMLPKDD)	SEP 19-23, 2016	Riva del Garda, ITALY	Google, IBM, Deloitte, Siemens, Unicredit, Zalando, UNITN, UNIFI, ISTI CNR, ICAR CNR				By applying spatio-temporal aggregation to traffic data consisting of vehicle trajectories, we generate a spatially abstracted transportation network, which is a directed graph where nodes stand for territory compartments (areas in geographic space) and links (edges) are abstractions of the possible paths between neighboring areas. From time series of traffic characteristics obtained for the links, we reconstruct mathematical models of the interdependencies between the traffic intensity (a.k.a. traffic flow or flux) and mean velocity. Graphical representations of these interdependencies have the same shape as the fundamental diagram of traffic flow through a physical street segment, which is known in transportation science. This key finding substantiates our approach to traffic analysis, forecasting, and simulation leveraging spatial abstraction. We present the process of data-driven generation of traffic forecasting and simulation models, in which each step is supported by visual analytics techniques.	[Andrienko, Natalia; Andrienko, Gennady] Fraunhofer Inst IAIS, St Augustin, Germany; [Andrienko, Natalia; Andrienko, Gennady] City Univ London, London, England; [Rinzivillo, Salvatore] CNR, Area Ric, Ist Sci & Tecnol Informaz, Pisa, Italy	Andrienko, N (corresponding author), Fraunhofer Inst IAIS, St Augustin, Germany.; Andrienko, N (corresponding author), City Univ London, London, England.	natalia.andrienko@iais.fraunhofer.de; gennady.andrienko@iais.fraunhofer.de; rinzivillo@isti.cnr.it	RINZIVILLO, SALVATORE/AAY-2422-2020; Andrienko, Gennady L./B-6486-2014	RINZIVILLO, SALVATORE/0000-0003-4404-4147; Andrienko, Gennady L./0000-0002-8574-6295; Andrienko, Natalia/0000-0003-3313-1560			Andrienko Gennady, 2013, VISUAL ANAL MOVEMENT; Andrienko N, 2016, INFORM SYST, V57, P172, DOI 10.1016/j.is.2015.08.007; Andrienko N, 2013, DATA MIN KNOWL DISC, V27, P55, DOI 10.1007/s10618-012-0285-7; Andrienko N, 2011, IEEE T VIS COMPUT GR, V17, P205, DOI 10.1109/TVCG.2010.44; Gazis D C, 2002, TRAFFIC THEORY; Pappalardo L, 2013, EUR PHYS J-SPEC TOP, V215, P61, DOI 10.1140/epjst/e2013-01715-5	6	1	1	0	3	SPRINGER-VERLAG BERLIN	BERLIN	HEIDELBERGER PLATZ 3, D-14197 BERLIN, GERMANY	0302-9743		978-3-319-46131-1; 978-3-319-46130-4	LECT NOTES ARTIF INT			2016	9853						32	35		10.1007/978-3-319-46131-1_7			4	Computer Science, Artificial Intelligence; Computer Science, Information Systems	Computer Science	BG3ZQ	WOS:000388437000007		Green Accepted			2021-01-11	
S	Zhang, TB; Li, GL; Xu, Y; Yang, Y; Lu, S		Jiang, P; Liang, X		Zhang, Tongbo; Li, Guangli; Xu, Yue; Yang, Yang; Lu, Shuai			Prediction of Transportation Network Based on PageRank Algorithm	PROCEEDINGS OF THE 2016 5TH INTERNATIONAL CONFERENCE ON ADVANCED MATERIALS AND COMPUTER SCIENCE	AER-Advances in Engineering Research		English	Proceedings Paper	5th International Conference on Advanced Materials and Computer Science (ICAMCS)	MAR 26-27, 2016	Qingdao, PEOPLES R CHINA			Data Mining; Complex Network Analysis; PageRank Algorithm; Congestion Prediction		As a new research field, network science is gaining more and more attention with the networking of human society. Urban traffic is a kind of typical complex network, the analysis of its property is becoming a hot topic. The research of the urban traffic network congestion is presented in this paper. Through in-depth analysis of the urban traffic network features and a variety of circumstances which lead to traffic congestion, we build a complex network model which the nodes represent specific roads. In this model, we get the PageRank algorithm improved which in the field of search engines, and we apply it to a transportation network. Then we predict the situations of urban traffic network congestion with this model. Finally, comprehensive tests are conducted with the data from the monitoring of real roads. The experimental results show that the model proposed in this paper can simulate the change of traffic flow, which has a good forecast effect on the urban traffic congestion and also has a referential value to the planning of urban traffic.	[Zhang, Tongbo; Li, Guangli; Xu, Yue; Yang, Yang; Lu, Shuai] Jilin Univ, Coll Comp Sci & Technol, Changchun 130012, Peoples R China	Lu, S (corresponding author), Jilin Univ, Coll Comp Sci & Technol, Changchun 130012, Peoples R China.	lus@jlu.edu.cn					Chen Cheng, 2015, COMPUTER APPL, V35, P48; Danila B, 2007, CHAOS, V17, DOI 10.1063/1.2731718; Gaofl Ziyou, 2010, COMPLEX SYSTEMS COMP, V7, P55; Gu Qian, 2008, Computer Engineering, V34, P266; Jiang Xiaofen, 2011, ELECT TEST, P34; Lu Shoufeng, 2006, J JILIN U, V36, P153; Shi Jin, 2008, Proceedings of the CSEE, V28, P93; Shubin Li, 2011, J PHYS, V60, P1; Wang XF, 2012, NETWORK SCI INTRO; Wu Jianjun, 2009, SHANDONG SCI, V22, P68; Wu Jianjun, 2010, URBAN TRANSPORTATION; Xing WP, 2004, SECOND ANNUAL CONFERENCE ON COMMUNICATION NETWORKS AND SERVICES RESEARCH, PROCEEDINGS, P305, DOI 10.1109/dnsr.2004.1344743; Zheng Xiao, 2012, ACTA PHYS SINICA, V61, P1	13	0	0	0	0	ATLANTIS PRESS	PARIS	29 AVENUE LAVMIERE, PARIS, 75019, FRANCE	2352-5401		978-94-6252-189-6	AER ADV ENG RES			2016	80						88	94					7	Computer Science, Theory & Methods; Materials Science, Multidisciplinary	Computer Science; Materials Science	BG3TU	WOS:000388289100018					2021-01-11	
