PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
B	Han, C; Song, S			IEEE; IEEE	Han, C; Song, S			A review of some main models for traffic flow forecasting	2003 IEEE INTELLIGENT TRANSPORTATION SYSTEMS PROCEEDINGS, VOLS. 1 & 2			English	Proceedings Paper	6th IEEE International Conference on Intelligent Transportation Systems	OCT 12-15, 2003	SHANGHAI, PEOPLES R CHINA	IEEE Council Intelligent Transportat Syst, Chinese Acad Sci, Key Lab Complex Syst & Intelligence Sci		traffic flow; traffic forecasting; ARIMA model; neural network model; nonparametric model	MULTILAYER FEEDFORWARD NETWORKS	As intelligent transportation systems (ITS) are implemented widely throughout the world, managers. Of transportation systems have access to large amounts of "real-time" status data. Real-time forecasting is becoming an. important tool in ITS., During the past few years, various traffic-flow forecasting models have been developed and forecasting accuracy has been improved substantially. In this paper some main models for traffic flow forecasting are introduced. These models include ARIMA model, various neural network (NN) models, nonparametric model, and so on. Furthermore, in this paper some techniques for improving the forecasting power are also discussed which include judgmental adjustment technique adaptive estimation for time-varying parameters and adopting feed-back loop structure when estimating parameters. Finally, a summary of these models and techniques is to be given.	Beijing Polytech Univ, Elect Informat & Control Engn Coll, Beijing 100022, Peoples R China	Han, C (corresponding author), Beijing Polytech Univ, Elect Informat & Control Engn Coll, Beijing 100022, Peoples R China.	hcnx@163.com; songsu@nsfc.gov.cn					Bashir Z, 2000, 2000 CANADIAN CONFERENCE ON ELECTRICAL AND COMPUTER ENGINEERING, CONFERENCE PROCEEDINGS, VOLS 1 AND 2, P163, DOI 10.1109/CCECE.2000.849691; Brockwell P.J., 1991, TIME SERIES THEORY M; CHANG SC, 1 KJIST DEP MECH, P500; Chen H, 2001, TRANSPORT RES C-EMER, V9, P319, DOI 10.1016/S0968-090X(00)00039-5; Cristi R, 2000, SIGNAL PROCESS, V80, P1945, DOI 10.1016/S0165-1684(00)00104-3; DISBRO JE, 1989, TRANSPORT RES REC, V1225, P109; Dougherty MS, 1997, INT J FORECASTING, V13, P21, DOI 10.1016/S0169-2070(96)00697-8; FUNAHASHI K, 1989, NEURAL NETWORKS, V2, P183, DOI 10.1016/0893-6080(89)90003-8; HORNIK K, 1989, NEURAL NETWORKS, V2, P359, DOI 10.1016/0893-6080(89)90020-8; LEE J, 1995, P EANN HELS AUG 1995, P299; Smith BL, 2002, TRANSPORT RES C-EMER, V10, P303, DOI 10.1016/S0968-090X(02)00009-8; Smith BL, 1997, J TRANSP ENG-ASCE, V123, P261, DOI 10.1061/(ASCE)0733-947X(1997)123:4(261); SMITH BL, 2000, INVESTIGATION INCIDE; VanArem B, 1997, INT J FORECASTING, V13, P1, DOI 10.1016/S0169-2070(96)00695-4; WHITE H, 1990, NEURAL NETWORKS, V3, P535, DOI 10.1016/0893-6080(90)90004-5; Yin HB, 2002, TRANSPORT RES C-EMER, V10, P85, DOI 10.1016/S0968-090X(01)00004-3	16	7	7	1	4	IEEE	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017 USA			0-7803-8125-4				2003							216	219					4	Automation & Control Systems; Computer Science, Artificial Intelligence; Computer Science, Interdisciplinary Applications; Engineering, Electrical & Electronic; Transportation Science & Technology	Automation & Control Systems; Computer Science; Engineering; Transportation	BY24D	WOS:000188415300038					2021-01-11	
B	Cheu, RL; Srinivasan, D; Teh, ET			IEEE; IEEE	Cheu, RL; Srinivasan, D; Teh, ET			Support vector machine models for freeway incident detection	2003 IEEE INTELLIGENT TRANSPORTATION SYSTEMS PROCEEDINGS, VOLS. 1 & 2			English	Proceedings Paper	6th IEEE International Conference on Intelligent Transportation Systems	OCT 12-15, 2003	SHANGHAI, PEOPLES R CHINA	IEEE Council Intelligent Transportat Syst, Chinese Acad Sci, Key Lab Complex Syst & Intelligence Sci		incident detection; support vector machines; neural networks		This paper presents the development of freeway incident detection models based on the recently developed support, vector machine (SVM) classifier. The overall framework, algorithm development, implementation and evaluation of. this technique are discussed. Freeway traffic flow parameters, measured by sensors,, such as occupancy and volume are used by the SVM models to detect incidents. The performance of the developed algorithms is evaluated, using the common criteria of detection rate (DR), false alarm rate (FAR), mean time to detection (MTTD), and misclassification rate (MCR). A performance index (PI) is then calculated by combining these performance criteria. Offline test results using real data collected at the I-880 Freeway in San Francisco Bay area, California have shown that the SVM models produce better Pis compared to the multi-layer neural network models.	Natl Univ Singapore, Dept Civil Engn, Singapore 117576, Singapore	Cheu, RL (corresponding author), Natl Univ Singapore, Dept Civil Engn, 1 Engn Dr 2, Singapore 117576, Singapore.	cheu@nus.edu.sg	Srinivasan, Dipti/D-1736-2016	Srinivasan, Dipti/0000-0003-4877-3478; Cheu, Ruey/0000-0002-0791-2972			Abdulhai B, 1999, TRANSPORT RES C-EMER, V7, P262; BLACK J, ITS DECISION; Cheu RL, 1995, TRANSPORT RES C-EMER, V3, P371, DOI 10.1016/0968-090X(95)00016-C; Jin X, 2001, IEEE T NEURAL NETWOR, V12, P1173, DOI 10.1109/72.950145; JIN X, 2000, THESIS NAT U SINGAPO; MA JS, OSU SVM CLASSIFIER M; Petty KF, 1996, TRANSPORT RES C-EMER, V4, P71, DOI 10.1016/0968-090X(96)00001-0; Scholkopf B., 2002, LEARNING KERNELS; Vapnik V., 1995, NATURE STAT LEARNING; *WARDS SYST GROUP, 1998, NEUR SHELL 2 US MAN; YUAN F, 2001, THESIS NAT U SINGAPO	11	21	21	0	0	IEEE	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017 USA			0-7803-8125-4				2003							238	243					6	Automation & Control Systems; Computer Science, Artificial Intelligence; Computer Science, Interdisciplinary Applications; Engineering, Electrical & Electronic; Transportation Science & Technology	Automation & Control Systems; Computer Science; Engineering; Transportation	BY24D	WOS:000188415300042					2021-01-11	
B	Wen, ZW			IEEE; IEEE	Wen, ZW			The research of visualization in ITS data	2003 IEEE INTELLIGENT TRANSPORTATION SYSTEMS PROCEEDINGS, VOLS. 1 & 2			English	Proceedings Paper	6th IEEE International Conference on Intelligent Transportation Systems	OCT 12-15, 2003	SHANGHAI, PEOPLES R CHINA	IEEE Council Intelligent Transportat Syst, Chinese Acad Sci, Key Lab Complex Syst & Intelligence Sci		ITS visualization spatio-temporal; real time		ITS must collect all kinds of data from sensors embedded within transportation facilities, from vehicles equipped with GPS, from RS, etc. how to visualize ITS data at real time is the problem we should solve. First, we established spatio-temporal data model of traffic objects. Then, we discussed the visualization of dynamic sequences of point, line and polygon traffic objects in ITS. At last, we gave an example of the architecture of real-time monitor of ITS and real-time visualization of traffic flow.	Zhongshan Univ, Ctr Intelligent Transportat Syst, Guangzhou 510275, Peoples R China	Wen, ZW (corresponding author), Zhongshan Univ, Ctr Intelligent Transportat Syst, Guangzhou 510275, Peoples R China.						Bespalko SJ, 1996, PUBL HARV INFOR INFR, P209; BRANSCOMB LM, CONVERGING INFRASTRU, P1; Ehlschlaeger CR, 1997, COMPUT GEOSCI, V23, P387, DOI 10.1016/S0098-3004(97)00005-8; FOHL P, P 7 INT S SPAT DAT H; GOODCHILD MF, 1999, P INT WORKSH GEOGR I; HEARNSHAW HM, 1994, VISUALIZATION GEOGRA; Iguchi M, 2002, JSAE REV, V23, P173, DOI 10.1016/S0389-4304(02)00160-1; JOMIER G, P 9 INT S SPAT DAT H; Krygier JB, 1996, INT W GEOGR SER, P19; Maceachren A.M., 1995, MAPS WORK REPRESENTA; MILLER HJ, 2001, GIS T DATA MODELS; OHTA M, 1999, THEORY APPL GIS, V7, P37; SEKIMOTO Y, P 9 INT S SPAT DAT H; SUTTON J, 1995, NETWORK PATHOLOGIES; YEH AGO, P 9 INT S SPAT DAT H	15	0	0	0	0	IEEE	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017 USA			0-7803-8125-4				2003							389	394					6	Automation & Control Systems; Computer Science, Artificial Intelligence; Computer Science, Interdisciplinary Applications; Engineering, Electrical & Electronic; Transportation Science & Technology	Automation & Control Systems; Computer Science; Engineering; Transportation	BY24D	WOS:000188415300070					2021-01-11	
B	Lin, WH; Dahlgren, J; Huo, H			IEEE; IEEE	Lin, WH; Dahlgren, J; Huo, H			An enhancement to speed estimation using single loop detectors.	2003 IEEE INTELLIGENT TRANSPORTATION SYSTEMS PROCEEDINGS, VOLS. 1 & 2			English	Proceedings Paper	6th IEEE International Conference on Intelligent Transportation Systems	OCT 12-15, 2003	SHANGHAI, PEOPLES R CHINA	IEEE Council Intelligent Transportat Syst, Chinese Acad Sci, Key Lab Complex Syst & Intelligence Sci		traffic sensors; traffic flow theory; traffic management systems; traveler information systems; traffic control		Speed estimation plays an important role in many components in Intelligent Transportation Systems (ITS). In practice, traffic data from single loop detectors are one of the dominant data sources. Speed estimation from single loop detectors is mainly based on occupancy data, a conversion factor from occupancy: to density (which is potentially related to the vehicle length), and the assumed relationship between flow, speed, and density. This paper investigates the discrepancy between the speed estimated with single loops and the speed estimated with double loops. It was found that the discrepancy between the two is mainly caused by the high variance in vehicle pace, Which, especially under congested traffic, is often accompanied with the high skewness. Accuracy can be improved by computing occupancy in a different way, using the median vehicle passage time over the detector as opposed to the mean vehicle passage time often used in the conventional method. The performance of the enhanced speed estimation method is very promising. The use of the median vehicle passage time reduces the skewness of pace data.	Univ Arizona, Dept Syst & Ind Engn, Tucson, AZ 85721 USA	Lin, WH (corresponding author), Univ Arizona, Dept Syst & Ind Engn, Tucson, AZ 85721 USA.						Banks J. H., 1999, TRANSPORT RES REC, V1678, P128, DOI DOI 10.3141/1678-16; Cassidy M. J., 1997, TRANSPORT RES REC, V1591, P1, DOI DOI 10.3141/1591-01; Edie L.C., 1963, P 2 INT S THEOR TRAF, P139; Hall F. L., 1989, TRANSPORT RES REC, V1232, P9; KOSHI M, 1983, P 8 INT S TRANSP TRA, P8	5	7	7	0	0	IEEE	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017 USA			0-7803-8125-4				2003							417	422					6	Automation & Control Systems; Computer Science, Artificial Intelligence; Computer Science, Interdisciplinary Applications; Engineering, Electrical & Electronic; Transportation Science & Technology	Automation & Control Systems; Computer Science; Engineering; Transportation	BY24D	WOS:000188415300075					2021-01-11	
B	Hu, JM; Zong, CG; Song, JY; Zhang, Z; Ren, JT			IEEE; IEEE	Hu, JM; Zong, CG; Song, JY; Zhang, Z; Ren, JT			An applicable short-term traffic flow forecasting method based on chaotic theory	2003 IEEE INTELLIGENT TRANSPORTATION SYSTEMS PROCEEDINGS, VOLS. 1 & 2			English	Proceedings Paper	6th IEEE International Conference on Intelligent Transportation Systems	OCT 12-15, 2003	SHANGHAI, PEOPLES R CHINA	IEEE Council Intelligent Transportat Syst, Chinese Acad Sci, Key Lab Complex Syst & Intelligence Sci		short-term traffic flow; phrase space reconstruction; forecasting; chaos; SOM		Short-term traffic flow forecasting plays a very important-role in urban traffic management and control. In this paper, According to the chaotic property of urban traffic flow, we compute the parameters of phrase space reconstruction for traffic flow system. Meanwhile, a local-forecasting method is introduced to predict urban road short-term traffic flow based on the theory of phrase space reconstruction. Self-organizing Map (SOM), network is introduced to seek the near neighbor. Case study using, real. traffic flow data from UTC-SCOOT system proves the validity of the method. The research in this paper is a significant attempt to forecast traffic flow from the viewpoint of non-linear time series.	Tsing Hua Univ, Dept Automat, Inst Syst Engn, Beijing 100084, Peoples R China	Hu, JM (corresponding author), Tsing Hua Univ, Dept Automat, Inst Syst Engn, Beijing 100084, Peoples R China.						DOCHY T, 1995, RECHERCHE TRANSPORTS, P73; HOBEIKA AG, 1994, P VEH NAV INF SYST C; KANTZ H, 1997, NONLIEAR TIME SERIES; LI Y, 2000, SYSTEM ENG, V18, P54; LIN ZS, 1993, PHASE SPACE THEORIES, P41; MA SF, 2001, CHINA CIVIL ENG J TR, V1, P42; OKOTANI I, 1984, TRANSPORTATION RES B, V1, P1; Smith BL, 1997, J TRANSP ENG-ASCE, V123, P261, DOI 10.1061/(ASCE)0733-947X(1997)123:4(261); Stephanedes Y.J., 1981, TRANSPORT RES REC, V795, P28; YANG ZS, 2000, THEORIES MODELS URBA	10	17	17	1	1	IEEE	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017 USA			0-7803-8125-4				2003							608	613					6	Automation & Control Systems; Computer Science, Artificial Intelligence; Computer Science, Interdisciplinary Applications; Engineering, Electrical & Electronic; Transportation Science & Technology	Automation & Control Systems; Computer Science; Engineering; Transportation	BY24D	WOS:000188415300111					2021-01-11	
B	Wang, XH; Xiao, HM			IEEE; IEEE	Wang, XH; Xiao, HM			A radial basis function neural network approach to traffic flow forecasting	2003 IEEE INTELLIGENT TRANSPORTATION SYSTEMS PROCEEDINGS, VOLS. 1 & 2			English	Proceedings Paper	6th IEEE International Conference on Intelligent Transportation Systems	OCT 12-15, 2003	SHANGHAI, PEOPLES R CHINA	IEEE Council Intelligent Transportat Syst, Chinese Acad Sci, Key Lab Complex Syst & Intelligence Sci		traffic flow forecasting; fuzzy clustering; neural networks		Many components of intelligent transportation systems require different levels of the traffic flow forecasting. This paper presents a novel short-term traffic flow forecasting model sing a distributed radial basis function neural network (RBFNN) based on adaptive fuzzy c-means (FCM) clustering algorithm. FCM clustering algorithm is used to classify training objects into a couple of clusters, each cluster is trained by a sub RBFNN, and membership values are used for-combining several RBFNN,outputs to obtain the final result. In the online stage, the membership values are computed using an adaptive fuzzy clustering algorithm for the new object. The real traffic data are used to demonstrate the effectiveness of the method.	Shanghai Maritime Univ, Elect Engn & Automat Dept, Shanghai 200135, Peoples R China	Wang, XH (corresponding author), Shanghai Maritime Univ, Elect Engn & Automat Dept, Shanghai 200135, Peoples R China.						Catelani M, 2000, MEASUREMENT, V28, P147, DOI 10.1016/S0263-2241(00)00008-7; DAVIS GA, 1991, J TRANSPORTATION ENG, P178; DOCHY TM, 1995, TRANSPORTATION SYSTE, V2; DUNCAN G, 1997, COMPUTING CONTROL DI; LEE S, 1999, 1678 TRB NAT RES COU; MOORTHY CK, 1988, SHORT TERM TRAFFIC F, V12; OKUTANI I, 1984, TRANSPORT RES B-METH, V18, P1, DOI 10.1016/0191-2615(84)90002-X; SARSILILIBELLI S, 1996, PATTERN RECOGN, V17, P651; SMITH BL, 1997, J TRANSPORTATION ENG, V123; Teppola P, 1999, CHEMOMETR INTELL LAB, V45, P23, DOI 10.1016/S0169-7439(98)00087-2; Tung WL, 2002, IEEE T NEURAL NETWOR, V13, P1075, DOI 10.1109/TNN.2002.1031940	11	5	5	0	0	IEEE	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017 USA			0-7803-8125-4				2003							614	617					4	Automation & Control Systems; Computer Science, Artificial Intelligence; Computer Science, Interdisciplinary Applications; Engineering, Electrical & Electronic; Transportation Science & Technology	Automation & Control Systems; Computer Science; Engineering; Transportation	BY24D	WOS:000188415300112					2021-01-11	
B	Shi, ZK			IEEE; IEEE	Shi, ZK			A new estimation method for multi-section traffic states of freeway	2003 IEEE INTELLIGENT TRANSPORTATION SYSTEMS PROCEEDINGS, VOLS. 1 & 2			English	Proceedings Paper	6th IEEE International Conference on Intelligent Transportation Systems	OCT 12-15, 2003	SHANGHAI, PEOPLES R CHINA	IEEE Council Intelligent Transportat Syst, Chinese Acad Sci, Key Lab Complex Syst & Intelligence Sci		traffic model; traffic flow estimation; Kalman filter; traffic control		To accurately estimate multi-section (1)traffic states of freeway, a. new multi-section error state equations are built up. In the new model, error propagations of both the traffic density and the average velocity am considered and the extended Kalman filter is used to estimate all traffic states. To avoid a series of high-dimension. problems, a modified weighted Gram-Schmidt orthogonal U-D factorization method is used for the time update and measurement update of the extended Kalman filter to get high numerical stability and computational efficency. Considered the structure of system matrix, block matrix is used in U-D factorization algorithm. Results of simulation to 100 section states of freeway and actual application show that the new method can be efficiently used to estimation and prediction freeway traffic-flows.	Northwestern Polytech Univ, Dept Automat Control, Xian 710072, Peoples R China	Shi, ZK (corresponding author), Northwestern Polytech Univ, Dept Automat Control, Xian 710072, Peoples R China.						ANDERSON JM, 1994, TRANSPORTATION SYSTE, P621; FU L, 1996, THESIS U ALBERTA CAN; LIU XM, 1994, J FREEWAY CHINA, V7; PARK D, 1999, FORECASTING FREEWAY; SHI ZK, 2001, COMPUTING METHOD OPT, P68; WANG Q, 2001, J NW POLYTECHNICAL U; Zarrillo ML, 1997, COMPUT IND ENG, V33, P857, DOI 10.1016/S0360-8352(97)00266-0; ZHANG R, 2000, J BEIJING ARCHITECTU, V16	8	1	1	0	0	IEEE	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017 USA			0-7803-8125-4				2003							618	623					6	Automation & Control Systems; Computer Science, Artificial Intelligence; Computer Science, Interdisciplinary Applications; Engineering, Electrical & Electronic; Transportation Science & Technology	Automation & Control Systems; Computer Science; Engineering; Transportation	BY24D	WOS:000188415300113					2021-01-11	
B	Zhang, YP; Pei, YL			IEEE; IEEE	Zhang, YP; Pei, YL			The application of Cusp catastrophe theory in traffic flow prediction	2003 IEEE INTELLIGENT TRANSPORTATION SYSTEMS PROCEEDINGS, VOLS. 1 & 2			English	Proceedings Paper	6th IEEE International Conference on Intelligent Transportation Systems	OCT 12-15, 2003	SHANGHAI, PEOPLES R CHINA	IEEE Council Intelligent Transportat Syst, Chinese Acad Sci, Key Lab Complex Syst & Intelligence Sci		cusp catastrophe theory; prediction; speed-flow model; traffic flow		Traffic flow prediction plays an important role in traffic management and control. The focus of this paper is to discuss the application of cusp catastrophe theory in traffic flow are prediction in China. Five properties of a catastrophe system outlined briefly and the data collected from freeways of Zhujiang Guangdong province, China are examined to ascertain whether they exhibit qualitative properties and attributes of the, catastrophe model. This paper also tries to describe the relationships between traffic parameters by using cusp catastrophe theory and to acquire highway capacity, and. corresponding speed. prediction value through suitable transformation of catastrophe model. The forecasting value of speed and capacity for freeway sections are,given based on the is catastrophe model. Furthermore, speed-flow curve on freeway drawn but by means of plotting out congested and uncongested traffic flow and the capacity value for the same freeway is also obtained from the speed-flow model curve to test the feasibility of. the application of cusp catastrophe theory in traffic flow. Finally, prospects and problems of its application in traffic flow research in China are discussed.	Changsha Commun Inst, Changsha, Peoples R China	Zhang, YP (corresponding author), Changsha Commun Inst, Changsha, Peoples R China.						FORBES GJ, 1990, TRANSPORT RES, P335; HALL FL, 1987, TRANSPORT RES A-POL, V21, P191, DOI 10.1016/0191-2607(87)90013-6; HALL FL, 1993, TRAFFIC ENG CONTROL, V9, P420; Hurdle V.F., 1983, TRANSPORT RES REC, V905, P127; JORGENSEN LA, 1994, MAR POLLUT BULL, V28, P235, DOI 10.1016/0025-326X(94)90099-X; Navin F. P. D., 1986, Transport Planning and Technology, V11, P19, DOI 10.1080/03081068608717327	6	3	3	0	0	IEEE	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017 USA			0-7803-8125-4				2003							628	631					4	Automation & Control Systems; Computer Science, Artificial Intelligence; Computer Science, Interdisciplinary Applications; Engineering, Electrical & Electronic; Transportation Science & Technology	Automation & Control Systems; Computer Science; Engineering; Transportation	BY24D	WOS:000188415300115					2021-01-11	
B	De Schutter, B; Hoogendoorn, SP; Schuurman, H; Stramigioli, S			IEEE; IEEE	De Schutter, B; Hoogendoorn, SP; Schuurman, H; Stramigioli, S			A multi-agent case-based traffic control scenario evaluation system	2003 IEEE INTELLIGENT TRANSPORTATION SYSTEMS PROCEEDINGS, VOLS. 1 & 2			English	Proceedings Paper	6th IEEE International Conference on Intelligent Transportation Systems	OCT 12-15, 2003	SHANGHAI, PEOPLES R CHINA	IEEE Council Intelligent Transportat Syst, Chinese Acad Sci, Key Lab Complex Syst & Intelligence Sci			TIME DECISION-SUPPORT; MANAGEMENT	Traffic operators in traffic control centers have various measures-at their disposition to control the traffic flows on motorways and on urban roads such as ramp metering, variable speed limits, dynamic route guidance, opening of shoulder lanes, etc. When having to determine which of these control measures have to be applied and where they have to be applied for a given traffic situation, the traffic operator should be able to predict, the effect of a control scenario in order to be able to select the. best scenario. As on-line, real-time simulation of a large number of possible scenarios is usually not tractable for even relatively small motorway networks, a fast method to predict the effects of control measures on-line is a key requirement for effectively applying traffic control. In this paper we develop a multi-agent case-based approach to assist traffic operators in evaluating or predicting the effects of control measures. The proposed approach is much faster than straightforward traffic simulation so that it can be used for on-line and real-time evaluation of a large number of different control, scenarios. In addition, it is scalable so that it can also be used for large networks.	Delft Univ Technol, Delft Ctr Syst & Control, NL-2628 CD Delft, Netherlands	De Schutter, B (corresponding author), Delft Univ Technol, Delft Ctr Syst & Control, Mekelweg 2, NL-2628 CD Delft, Netherlands.	b.deschutter@dcsc.tudelft.nl; s.p.hoogendoorn@ct.tudelft.nl; h.schuurman@avv.rws.minvenw.nl; S.Stramigioli@utwente.nl	De Schutter, Bart/B-7978-2011	De Schutter, Bart/0000-0001-9867-6196; Stramigioli, Stefano/0000-0001-8212-7387			Cuena J, 1995, TRANSPORT RES C-EMER, V3, P311, DOI 10.1016/0968-090X(95)00013-9; Hegyi A, 2001, 2001 IEEE INTELLIGENT TRANSPORTATION SYSTEMS - PROCEEDINGS, P358, DOI 10.1109/ITSC.2001.948683; KARIMI A, 1993, P 63 ANN M I TRANSP, P180; KNIBBE WJJ, 2000, P 9 IFAC S CONTR TRA, P34; KRAUSE B, 1997, MOBILITY EVERYONE; Messmer A., 1990, TRAFFIC ENG CONTROL, V31, P466, DOI DOI 10.1007/978-1-4419-6142-611; Molina M, 1998, INT J HUM-COMPUT ST, V49, P577, DOI 10.1006/ijhc.1998.0219; RITCHIE SG, 1990, TRANSPORT RES A-POL, V24, P27, DOI 10.1016/0191-2607(90)90068-H; RITCHIE SG, 1991, TRANSPORT RES REC, V1320, P7; ROSEMAN D, 1997, P 4 WORLD C INT TRAN; Sadek A. W., 1999, Computer-Aided Civil and Infrastructure Engineering, V14, P347, DOI 10.1111/0885-9507.00153; *U CRET DYN SYST S, 2000, METANET SIM PROGR MO; ZHANG HJ, 1994, J COMPUT CIVIL ENG, V8, P35, DOI 10.1061/(ASCE)0887-3801(1994)8:1(35)	13	18	18	0	0	IEEE	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017 USA			0-7803-8125-4				2003							678	683					6	Automation & Control Systems; Computer Science, Artificial Intelligence; Computer Science, Interdisciplinary Applications; Engineering, Electrical & Electronic; Transportation Science & Technology	Automation & Control Systems; Computer Science; Engineering; Transportation	BY24D	WOS:000188415300124					2021-01-11	
B	Woesler, R			IEEE; IEEE	Woesler, R			Fast extraction of traffic parameters and reidentification of vehicles from video data	2003 IEEE INTELLIGENT TRANSPORTATION SYSTEMS PROCEEDINGS, VOLS. 1 & 2			English	Proceedings Paper	6th IEEE International Conference on Intelligent Transportation Systems	OCT 12-15, 2003	SHANGHAI, PEOPLES R CHINA	IEEE Council Intelligent Transportat Syst, Chinese Acad Sci, Key Lab Complex Syst & Intelligence Sci		traffic data extraction; video data; reidentification of vehicles; rod-time processing	IMAGE SEQUENCES; TRACKING; SCENES	Cities can be monitored using video cameras in order to extract traffic data. Besides the remote sensing data, stationary cameras fixed at high buildings can be used which provide data 24 is raining. Therefore, such data hours a day, even when it complement. remote sensing data. The data can be used, e.g., to. optimize traffic flow by controlling traffic lights dynamically. In case of stationary cameras, in order to minimize the-number of cameras it is useful to reidentify vehicles leaving one monitored region and afterwards entering the viewing field of a further camera. From reidentified vehicles travel times can be obtained which are relevant parameters to optimize traffic control. A method to reidentify vehicles based on extraction of 3-d-prototype vehicle models and color extraction from the top plane of vehicle, is presented. Shadows and light reflections on wet street I are corrected, and therefore, the high recognition accuracy is, achieved which is necessary to find the top plane of the vehicles. The algorithms are suitable for real-time applications used for remote. sensing methods can also be data. Reidentification of vehicles in remote sensing data is of interest, because vehicles can get lost for. a while, e.g., when high buildings parts of the street. prevent, a direct view onto parts of the street.	German Aero Space Ctr, Inst Transport Res, D-12489 Berlin, Germany	Woesler, R (corresponding author), German Aero Space Ctr, Inst Transport Res, Rutherfordstr 2, D-12489 Berlin, Germany.						Baker K. D., 1992, Proceedings. IEEE Workshop on Applications of Computer Vision (Cat. No.92TH0446-5), P28, DOI 10.1109/ACV.1992.240330; Coifman B, 1998, TRANSPORT RES C-EMER, V6, P271, DOI 10.1016/S0968-090X(98)00019-9; Coifman B, 2002, TRANSPORT RES A-POL, V36, P899, DOI 10.1016/S0965-8564(01)00046-5; ECKART O, 2000, ITS 2000 C NOV; EGGIMAN S, 1996, BENCHMARKING BILDVER; FOLEY JD, 1995, COMPUTER GRAPHICS, pCH13; Haag M, 2000, IMAGE VISION COMPUT, V18, P137, DOI 10.1016/S0262-8856(99)00021-9; KARMANN KP, 1990, TIME VARYING IMAGE P; Kastrinaki V, 2003, IMAGE VISION COMPUT, V21, P359, DOI 10.1016/S0262-8856(03)00004-0; KILGER M, 1992, IEEE WORKSH APPL COM, P1060; KOLLER D, 1993, INT J COMPUT VISION, V10, P257; KOLLER D, 1994, ICPR ISRAEL; KOLLER D, 1992, DETEKTION VERFOLGUNG; SULLIVAN GD, 1992, PHILOS T ROY SOC B, V337, P361, DOI 10.1098/rstb.1992.0114; TOPP HH, 2001, FORSCHUNG STRASSENBA, V823; ZHENG N, 1998, P IEEE C INT TRANSP, P206; 2001, ADAC AUTOKATALOG 200	17	6	6	0	0	IEEE	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017 USA			0-7803-8125-4				2003							774	778					5	Automation & Control Systems; Computer Science, Artificial Intelligence; Computer Science, Interdisciplinary Applications; Engineering, Electrical & Electronic; Transportation Science & Technology	Automation & Control Systems; Computer Science; Engineering; Transportation	BY24D	WOS:000188415300142					2021-01-11	
